                                                 Music                              Album
0                               Creep_(Radiohead_song)                       My Iron Lung
1                                                Lewis                       My Iron Lung
2                                      Lozenge of Love                       My Iron Lung
3                                         My Iron Lung                       My Iron Lung
4                                   Permanent Daylight                       My Iron Lung
5                        Punchdrunk Lovesick Singalong                       My Iron Lung
6                                        The Trickster                       My Iron Lung
7                     You Never Wash Up After Yourself                       My Iron Lung
8                                                    2             COM LAG (2plus2isfive)
9                                                  Fog             COM LAG (2plus2isfive)
10                                       Gagging Order             COM LAG (2plus2isfive)
11                                 I Am Citizen Insane             COM LAG (2plus2isfive)
12                                 I Am a Wicked Child             COM LAG (2plus2isfive)
13                                              I Will             COM LAG (2plus2isfive)
14                                     Paperbag Writer             COM LAG (2plus2isfive)
15                                       Remyxomatosis             COM LAG (2plus2isfive)
16                                          Skttrbrain             COM LAG (2plus2isfive)
17                                 Where Bluebirds Fly             COM LAG (2plus2isfive)
18                                           Idioteque                              Kid A
19                       Everything_in_Its_Right_Place                              Kid A
20                          The_National_Anthem_(song)                              Kid A
21                              True_Love_Waits_(song)                              Kid A
22                       Everything in Its Right Place                              Kid A
23                         How to Disappear Completely                              Kid A
24                                           Idioteque                              Kid A
25                                            In Limbo                              Kid A
26                                               Kid A                              Kid A
27                                        Morning Bell                              Kid A
28                           Motion Picture Soundtrack                              Kid A
29                                          Optimistic                              Kid A
30                                 The National Anthem                              Kid A
31                                         Treefingers                              Kid A
32                              Creep_(Radiohead_song)                        Pablo Honey
33                                     Stop_Whispering                        Pablo Honey
34                              Anyone_Can_Play_Guitar                        Pablo Honey
35                              Anyone Can Play Guitar                        Pablo Honey
36                                          Banana Co.                        Pablo Honey
37                                            Blow Out                        Pablo Honey
38                                         Coke Babies                        Pablo Honey
39                                               Creep                        Pablo Honey
40                           Faithless, The Wonder Boy                        Pablo Honey
41                                         How Do You?                        Pablo Honey
42                                             I Can't                        Pablo Honey
43                                      Inside My Head                        Pablo Honey
44                                         Killer Cars                        Pablo Honey
45                                              Lurgee                        Pablo Honey
46                             Million Dollar Question                        Pablo Honey
47                                  Nothing Touches Me                        Pablo Honey
48                                         Pop Is Dead                        Pablo Honey
49                                      Prove Yourself                        Pablo Honey
50                                             Ripcord                        Pablo Honey
51                                     Stop Whispering                        Pablo Honey
52                                          Stupid Car                        Pablo Honey
53                                  Thinking About You                        Pablo Honey
54                                           Vegetable                        Pablo Honey
55                                            Yes I Am                        Pablo Honey
56                                                 You                        Pablo Honey
57                                         The Best Of             Radiohead: The Best Of
58                                       Airbag_(song)                        OK Computer
59                              Lucky_(Radiohead_song)                        OK Computer
60                                    Paranoid_Android                        OK Computer
61                                        Karma_Police                        OK Computer
62                                        No_Surprises                        OK Computer
63                                           Palo Alto                        OK Computer
64                                          A Reminder                        OK Computer
65                                              Airbag                        OK Computer
66                               Climbing Up the Walls                        OK Computer
67                                      Electioneering                        OK Computer
68                                          Exit Music                        OK Computer
69                                      Fitter Happier                        OK Computer
70                              How I Made My Millions                        OK Computer
71                                        Karma Police                        OK Computer
72                                            Let Down                        OK Computer
73                                               Lucky                        OK Computer
74                                                Lull                        OK Computer
75                                Meeting in the Aisle                        OK Computer
76                                           Melatonin                        OK Computer
77                                        No Surprises                        OK Computer
78                                         OK Computer                        OK Computer
79                                           OKコンピューター                        OK Computer
80                                    Paranoid Android                        OK Computer
81                                             Pearly*                        OK Computer
82                                        Polyethylene                        OK Computer
83                         Subterranean Homesick Alien                        OK Computer
84                                         The Tourist                        OK Computer
